STATEFIP,YEAR,QUARTER,industry,emp_weighted,total_emp,emp_share
25,2018,3,Education and health services,2712079.666,10998519.3201,0.2465858891608822
25,2018,3,Financial activities,805971.4038,10998519.3201,0.07327999163733541
25,2018,3,Government,438608.9017,10998519.3201,0.03987890450839451
25,2018,3,Information,110085.19350000001,10998519.3201,0.010009092160143526
25,2018,3,Leisure and hospitality,231569.8796,10998519.3201,0.0210546413440218
25,2018,3,Manufacturing - Durable goods,505348.2508,10998519.3201,0.04594693486390178
25,2018,3,Manufacturing - Nondurable goods,469014.005,10998519.3201,0.042643376926462105
25,2018,3,Mining and logging,7881.073399999999,10998519.3201,0.0007165576720492903
25,2018,3,Other services,319681.27,10998519.3201,0.02906584611037383
25,2018,3,Professional and business services,2120516.1981,10998519.3201,0.1928001521281794
25,2018,3,Retail trade,1763589.1041,10998519.3201,0.1603478661784053
25,2018,3,Transportation and warehousing,431416.2768,10998519.3201,0.0392249414893129
25,2018,3,Utilities,129467.1815,10998519.3201,0.011771328279016276
25,2018,3,Wholesale trade,158013.6266,10998519.3201,0.014366809022304222
25,2018,4,Construction,803506.2723,10843994.785,0.07409688848351839
25,2018,4,Education and health services,2708828.7685,10843994.785,0.24979989590616533
25,2018,4,Financial activities,756735.0833,10843994.785,0.06978379262472137
25,2018,4,Government,398202.1385,10843994.785,0.03672098210991532
25,2018,4,Information,85951.8213,10843994.785,0.007926213817337243
25,2018,4,Leisure and hospitality,188210.3997,10843994.785,0.017356186851024937
25,2018,4,Manufacturing - Durable goods,509525.7675,10843994.785,0.046986906357129904
25,2018,4,Manufacturing - Nondurable goods,383412.8142,10843994.785,0.03535715590073479
25,2018,4,Mining and logging,4952.9682,10843994.785,0.0004567475638084236
25,2018,4,Other services,367537.4379,10843994.785,0.03389317730108075
25,2018,4,Professional and business services,2092067.7606,10843994.785,0.1929240839818423
25,2018,4,Retail trade,1845003.4697,10843994.785,0.17014057146653266
25,2018,4,Transportation and warehousing,432634.7946,10843994.785,0.039896256239300654
25,2018,4,Utilities,95563.7989,10843994.785,0.008812600964377908
25,2018,4,Wholesale trade,171861.4898,10843994.785,0.015848540432509994
25,2019,1,Construction,679968.0591,10966870.4667,0.062002014263291154
25,2019,1,Education and health services,3042535.6144,10966870.4667,0.2774297028161688
