OCC2010,abstract,routine,manual,rti
6520,2.9633333333333334,3.405,4.380000000000001,-1.3381185456445828
6530,2.623333333333333,2.665,4.325,-1.4486538565272369
6540,3.103333333333333,2.855,4.315,-1.5455022840482835
6600,3.061111111111112,2.7374999999999994,4.110833333333333,-1.5149703373298946
6660,3.6116666666666672,2.1525,2.9775,-1.6095235889276913
6700,2.83,3.09,4.25,-1.3590246036818177
6710,2.48,2.9000000000000004,3.91,-1.207085197181737
6720,3.013333333333333,2.975,3.48,-1.2598351405247652
6730,3.1966666666666668,3.43,4.26,-1.3788174993306677
6740,3.4333333333333336,3.47,4.404999999999999,-1.4721172719968554
6750,2.9066666666666663,2.92,4.335,-1.4621449432050933
6765,3.2383333333333333,2.665,3.73,-1.5113279427437507
6800,2.936666666666667,3.931666666666666,4.113333333333333,-1.1166635590694134
6820,3.0716666666666663,3.19,4.55,-1.484692416334723
6830,3.293333333333333,3.34,4.22,-1.425764544150978
6840,2.6088888888888886,3.6233333333333335,4.578333333333333,-1.195141951670838
6910,2.9227777777777777,3.4737500000000003,4.3566666666666665,-1.2961358699599568
6920,2.9600000000000004,3.06,4.61,-1.495002209380237
6930,3.703333333333333,3.52,4.57,-1.5702855302795369
7000,3.5933333333333333,2.755,3.89,-1.6240719918382185
7010,2.8433333333333333,2.78,3.835,-1.366695579952152
7020,3.541666666666667,2.355,4.237500000000001,-1.8531270681677243
7030,3.353333333333333,2.235,3.585,-1.6824721219895349
7040,3.356666666666667,3.095,4.135,-1.5006478404014565
7050,3.2366666666666664,2.725,4.16,-1.5975906397930886
7110,3.6166666666666663,2.8200000000000003,4.23,-1.691017899426523
7120,3.4,2.185,3.305,-1.6375960763782116
7130,3.3000000000000003,2.095,3.68,-1.7572816672791731
7140,3.556666666666666,2.85,4.404999999999999,-1.7042450417531358
7150,3.123333333333333,2.565,4.44,-1.6875967054036218
7160,2.4,2.305,3.695,-1.3473686153054532
7200,3.27,2.615,4.699999999999999,-1.7710883961082882
7210,3.26,2.78,4.505,-1.6644641587363715
7220,3.241111111111111,2.796666666666667,4.445,-1.638317057085282
7240,3.19,2.353333333333333,4.396666666666667,-1.7894570729928507
7260,2.936666666666667,2.2266666666666666,3.965,-1.6866005855132429
7300,3.036666666666667,2.5975,4.1975,-1.591895820949361
7315,3.276666666666667,2.805,4.065,-1.55783684951608
7320,2.94,2.435,4.35,-1.6586386699166298
7340,3.5400000000000005,3.16,4.285,-1.5686752515966058
7350,3.14,3.47,3.82,-1.240318628579878
7360,3.3866666666666667,3.5,4.25,-1.4140021679231836
7410,2.6533333333333333,2.78,4.484999999999999,-1.4541042789963954
7420,3.3166666666666664,2.975,4.395,-1.5891837546419387
7430,2.9250000000000003,2.18125,3.4087500000000004,-1.522622687703848
7440,3.353333333333333,3.445,4.5600000000000005,-1.4903535950641562
7510,2.353333333333333,3.025,3.58,-1.0242844717668451
7520,2.986666666666667,2.875,4.04,-1.4343499560424744
7540,3.54,2.405,4.135,-1.806064152063613
7550,3.43,2.645,4.5,-1.76396659264386
7560,2.93,3.625,3.74,-1.1062337461487783
7600,2.4533333333333336,2.57,3.905,-1.3157995284571964
7610,2.676666666666667,2.74,3.825,-1.318172786169081
7700,3.45,3.585,2.9850000000000003,-1.0552155038362503
7710,3.273333333333333,3.02,3.83,-1.4234168055040413
7720,2.7533333333333334,2.931666666666666,3.296666666666667,-1.129826100870378
7730,2.7,2.835,3.9,-1.312186388966169
7740,3.013333333333333,2.85,3.765,-1.381475752707273
7750,2.7266666666666666,2.835,3.4250000000000003,-1.1921393964810192
7800,2.543333333333333,3.175,2.905,-0.8446013145874756
7810,2.7,3.598333333333333,3.498333333333333,-0.9573625870519732
7830,3.1466666666666665,3.705,3.645,-1.1300167982018707
7840,3.14,4.19,3.71,-1.0225539426054595
7850,2.9766666666666666,3.26,3.5200000000000005,-1.1675379004516877
7855,3.0877777777777777,3.718333333333333,3.625,-1.1067028804196726
7900,2.916875,3.664375,3.7246875,-1.0849136359372364
7920,2.74,4.109999999999999,3.255,-0.7747271675523681
7930,3.013333333333333,3.81,3.98,-1.1466995158937123
7940,2.9599999999999995,3.91,4.1,-1.1326388680489563
7950,2.566666666666667,4.42,3.68,-0.7593810962827615
7960,3.44,3.64,3.615,-1.2285796453473856
8000,2.5666666666666664,3.88,3.695,-0.8937534409565114
8010,3.4933333333333336,3.0,3.905,-1.514501884848326
8020,3.0933333333333337,3.585,3.79,-1.1848568031727509
8030,2.833333333333333,4.11,3.825,-0.969589313598517
8040,2.783333333333333,3.415,3.7675,-1.1419620401322004
8060,2.955,3.4275,3.645,-1.144303711367467
8100,2.4233333333333333,3.52,3.69,-0.9296542830238642
8120,3.64,3.4400000000000004,3.545,-1.322050370247433
8130,3.2133333333333334,3.055,3.4799999999999995,-1.297561521117169
