onet_soc,abstract,routine,manual,rti
25-3041.00,3.776666666666666,1.62,1.78,-1.4230290014315061
25-4011.00,3.7900000000000005,2.4450000000000003,2.485,-1.3485935557160917
25-4012.00,4.003333333333333,1.815,2.235,-1.5952831077725005
25-4013.00,3.1466666666666665,2.245,2.865,-1.3902065204617848
25-4022.00,3.6966666666666668,2.0,2.105,-1.3585997992685654
25-4031.00,2.8266666666666667,2.7750000000000004,2.295,-0.8491802574498125
25-9021.00,3.74,1.685,2.74,-1.8052779680220945
25-9031.00,3.89,1.845,1.6400000000000001,-1.2406261219739716
25-9042.00,3.6566666666666667,2.15,2.38,-1.3981846311628412
25-9043.00,2.8633333333333333,1.38,1.595,-1.1967766843957488
25-9044.00,3.563333333333333,1.785,1.91,-1.33838126319578
27-1011.00,3.9566666666666666,2.785,2.59,-1.3028119222856658
27-1012.00,3.1133333333333333,2.13,3.11,-1.5141947100424507
27-1013.00,3.1566666666666667,1.9,2.9699999999999998,-1.596224685172091
27-1014.00,3.823333333333333,2.385,2.8249999999999997,-1.510431882731269
27-1021.00,3.4500000000000006,2.535,2.585,-1.2579061019605144
27-1022.00,3.6666666666666665,2.8,2.48,-1.1779221271259934
27-1023.00,2.6533333333333333,1.855,3.0100000000000002,-1.459872093889568
27-1024.00,3.716666666666667,2.475,2.665,-1.3867908708351724
27-1025.00,3.72,2.0,2.1799999999999997,-1.3999013645261074
27-1026.00,3.3266666666666667,1.99,2.7800000000000002,-1.5362870906214074
27-1027.00,3.4933333333333336,1.69,2.645,-1.698798926600067
27-2011.00,2.83,1.9049999999999998,1.685,-0.9175602668808072
27-2012.00,3.7733333333333334,2.085,2.325,-1.436909967895482
27-2012.03,3.796666666666667,2.8899999999999997,2.7,-1.2661187596769239
27-2012.04,2.9166666666666665,1.685,1.585,-1.0092602552263323
27-2012.05,3.606666666666667,3.275,3.035,-1.2066775401744723
27-2021.00,3.4599999999999995,2.6350000000000002,3.33,-1.4753577110686595
27-2022.00,3.67,1.815,2.365,-1.5648842162935612
27-2023.00,2.5533333333333332,1.9700000000000002,1.45,-0.6309297087669761
27-2031.00,2.47,2.69,1.855,-0.5325616530855366
27-2032.00,3.24,2.05,1.62,-0.9401596858982142
27-2041.00,3.393333333333333,2.25,2.355,-1.2674232337063192
27-2042.00,3.19,2.605,2.765,-1.219628876565721
27-3011.00,3.7466666666666666,3.0300000000000002,2.3449999999999998,-1.0645893381743998
27-3023.00,3.9766666666666666,2.37,2.4,-1.393022729648575
27-3031.00,3.983333333333333,1.725,1.5699999999999998,-1.2879675585863035
27-3041.00,3.7133333333333334,2.55,2.245,-1.1845421078549112
27-3042.00,3.8633333333333333,2.875,2.5,-1.211768426308392
27-3043.00,2.983333333333333,2.07,1.9049999999999998,-1.0099746449200409
27-3043.05,3.6799999999999997,2.435,2.225,-1.21272291126449
27-3091.00,3.85,3.025,1.6400000000000001,-0.7358582986529951
27-3092.00,1.9033333333333333,2.84,3.12,-0.7376356846480856
