STATEFIP,YEAR,bartik_shock
11,2020,-0.04150631013918483
11,2021,0.028232217596680098
11,2022,0.03765421695584261
11,2023,0.01923839625029777
11,2024,0.01128071474393496
11,2025,0.005507758955015419
12,1978,0.0530328492410977
12,1979,0.040155720418571635
12,1980,0.009480577341502372
12,1981,0.011063623748069953
12,1982,-0.0164589553527586
12,1983,0.014051367222139736
12,1984,0.05380287177912082
12,1985,0.039096317698338594
12,1986,0.02509745679530122
12,1987,0.029647075435819344
12,1988,0.03414556874028643
12,1989,0.028945843936006143
12,1990,0.012199088474564926
12,1991,-0.010880700335417265
12,1992,0.0032300623195466137
12,1993,0.022959649966453163
12,1994,0.03616345899777463
12,1995,0.02985240441217874
12,1996,0.0250581858681744
12,1997,0.029906153430962416
12,1998,0.029567987139301498
12,1999,0.0286787739434516
12,2000,0.02032520286960882
12,2001,0.0018008986590239845
12,2002,-0.01061428202229535
12,2003,0.0012297739939379302
12,2004,0.011587884053961267
12,2005,0.01892394387076444
12,2006,0.01920155096428517
12,2007,0.011446506523093388
12,2008,-0.00760295147678817
12,2009,-0.04628753923119644
12,2010,-0.007864630335221452
12,2011,0.014754391760491295
12,2012,0.016705563228462346
12,2013,0.017370916793999096
12,2014,0.021529498641735954
12,2015,0.024629643967829837
12,2016,0.019439095458701847
12,2017,0.015085662471584
12,2018,0.01637962058994457
12,2019,0.013454853955503204
12,2020,-0.04316217741718694
12,2021,0.028140318112333137
12,2022,0.0379294210996637
12,2023,0.016891856687008076
12,2024,0.011486391363702197
12,2025,0.0058765722587632505
13,1978,0.0531570683974026
13,1979,0.03742260715210863
13,1980,0.006481385994019551
13,1981,0.01041961504669273
13,1982,-0.016884199169066996
13,1983,0.011028796652934212
13,1984,0.05060823853935012
13,1985,0.03332435081408019
13,1986,0.022150302653735698
13,1987,0.029111872994340572
13,1988,0.03313917372642628
13,1989,0.025585413720972425
13,1990,0.011616339871353196
13,1991,-0.009674312568734893
13,1992,0.002558828544987771
13,1993,0.020611424404828455
13,1994,0.03305909401942631
13,1995,0.027641453412136287
13,1996,0.020964784988224943
13,1997,0.026701795895792725
13,1998,0.026545116411564637
13,1999,0.023594639905743012
13,2000,0.019566413859509073
13,2001,-0.002308086228363456
13,2002,-0.015598796535982654
13,2003,-0.004266026466852726
13,2004,0.011449957392184124
13,2005,0.019253321018923877
13,2006,0.018026744371312953
13,2007,0.008747169184038634
13,2008,-0.008994327644680725
13,2009,-0.051134292548230105
13,2010,-0.00890464178027148
13,2011,0.014903666019051623
13,2012,0.018726230605853954
13,2013,0.018097771428041105
13,2014,0.021627010836521302
13,2015,0.022559557551143593
13,2016,0.018715157305101114
13,2017,0.015562296759543818
13,2018,0.016711541399187537
13,2019,0.013589436925796831
13,2020,-0.0425554800923268
13,2021,0.03060116022267837
13,2022,0.038090615494465754
13,2023,0.017363630539831018
13,2024,0.010134268015198747
13,2025,0.004781508540899644
15,1978,0.05564640729148455
15,1979,0.03899347901371782
15,1980,0.013600892778153463
15,1981,0.014564052189019829
15,1982,-0.006361897649977269
15,1983,0.015995053437218725
15,1984,0.051668181752109674
15,1985,0.0400119348328177
15,1986,0.029126488392781376
15,1987,0.033085473234599504
15,1988,0.03713199174595809
15,1989,0.030429751933408997
15,1990,0.016147243652812955
15,1991,-0.008727569250547022
15,1992,0.0036466827274286534
15,1993,0.024797253329728475
15,1994,0.036682754370161184
15,1995,0.030280460771354982
15,1996,0.025779858256413997
15,1997,0.029999190692690376
15,1998,0.028913537974595362
15,1999,0.028395916166108336
15,2000,0.021922564337766775
15,2001,0.004919279380553292
15,2002,-0.004949468058337598
15,2003,0.002492493239582398
15,2004,0.013342889963482357
15,2005,0.019551597002255665
15,2006,0.01971779559912134
15,2007,0.01310281136158686
15,2008,-0.006434565304439078
15,2009,-0.043197340248036134
15,2010,-0.007759033197044182
15,2011,0.013667661772708877
15,2012,0.01770366892734284
15,2013,0.01795461006324199
15,2014,0.020642891779076977
15,2015,0.02297124993311236
15,2016,0.02035531411257677
15,2017,0.01627198942361714
15,2018,0.015813360790361972
15,2019,0.012928409958707992
15,2020,-0.04442744203287686
15,2021,0.027920061554767915
15,2022,0.036552023126720484
15,2023,0.019061401077003114
15,2024,0.01238328141645659
15,2025,0.006493237789658564
16,1978,0.05442317673224765
16,1979,0.03991351650970222
16,1980,0.008801860604726453
16,1981,0.012787888860903849
16,1982,-0.013134756514836301
16,1983,0.012939169484357697
16,1984,0.052514352148532444
16,1985,0.03789577082905493
16,1986,0.02530321945436511
16,1987,0.030909669454518743
16,1988,0.03519294530851174
16,1989,0.02770574991333023
16,1990,0.012316997258633418
16,1991,-0.013100162166132766
16,1992,0.0016967108980980034
16,1993,0.021626006754853593
16,1994,0.03466170834099647
16,1995,0.028937561000234802
16,1996,0.022986965888094547
16,1997,0.027859177743617812
16,1998,0.02718344855739901
16,1999,0.024258432850898067
16,2000,0.020298293681481533
16,2001,-0.0019840438998355997
16,2002,-0.012457872324217724
16,2003,-0.002909423513056251
16,2004,0.013294020072472193
16,2005,0.0198452649184494
16,2006,0.01916327862454549
16,2007,0.009939591357511553
16,2008,-0.010457068258524639
16,2009,-0.05128561075466432
16,2010,-0.007676330068214906
16,2011,0.01518776211663719
16,2012,0.01833449790799406
16,2013,0.017453477093950065
16,2014,0.02072367323928651
16,2015,0.02282899139463065
16,2016,0.018931788534552317
16,2017,0.015470826435390628
16,2018,0.016376226301395812
16,2019,0.012925492617159475
16,2020,-0.042074979495395806
16,2021,0.0276977295383235
16,2022,0.036147381637123895
16,2023,0.018800849270509328
16,2024,0.011986384032890731
16,2025,0.0055081416557503085
17,1978,0.055196730733618325
17,1979,0.040783689255141885
17,1980,0.005729860783361
17,1981,0.012838970527359233
17,1982,-0.017233310981462198
17,1983,0.010886260378437707
17,1984,0.05326384238041412
17,1985,0.0337647304075498
17,1986,0.022787988543576918
17,1987,0.028815226293843758
17,1988,0.03428046081780904
17,1989,0.026285500111546872
17,1990,0.011886001606715914
17,1991,-0.010334595906600269
17,1992,0.0020522029171810762
17,1993,0.022295506007109393
17,1994,0.03439133438132396
17,1995,0.028230497605808265
17,1996,0.023206894919780546
17,1997,0.030115912764766245
17,1998,0.028545614281175326
17,1999,0.022625515917850465
17,2000,0.020571386937235283
17,2001,-0.0021375650334974346
17,2002,-0.014614304076655787
17,2003,-0.0033265042203885972
17,2004,0.012251434334730272
17,2005,0.01934904625819215
17,2006,0.018264062175108904
17,2007,0.010696088169090831
17,2008,-0.008063267804853827
17,2009,-0.050426193909299984
17,2010,-0.00760803994760493
17,2011,0.017100886623674837
17,2012,0.019143641970348967
17,2013,0.018770052211217355
17,2014,0.020283855340571595
17,2015,0.023305964302582197
17,2016,0.019656759312933956
17,2017,0.016706539992226124
17,2018,0.017668703420699025
17,2019,0.014368472396186521
17,2020,-0.04055843407307028
17,2021,0.02934849165322901
17,2022,0.03714155903115033
17,2023,0.01930765608055083
17,2024,0.010293565228934033
17,2025,0.005301671773989909
18,1978,0.055123900224514834
18,1979,0.039618505782124086
18,1980,0.0013759993864893082
18,1981,0.010548641150707245
18,1982,-0.02269917014606202
18,1983,0.008139114852528639
18,1984,0.054864550352014915
18,1985,0.030550052818196442
18,1986,0.019685732689286497
18,1987,0.027117703433457426
18,1988,0.03273848305155891
18,1989,0.024474161510139123
18,1990,0.009026227123278371
18,1991,-0.015045910720750367
18,1992,-0.0007662924177064239
18,1993,0.017207956414596735
18,1994,0.03276008222403963
18,1995,0.027543584231556804
18,1996,0.022845880409905553
18,1997,0.0275141979407018
18,1998,0.026379473634844216
18,1999,0.02125796155368755
18,2000,0.018190238103241902
18,2001,-0.005885790252859858
18,2002,-0.019576424088399585
18,2003,-0.006429576979668468
18,2004,0.011641715237930228
18,2005,0.0169333906051984
18,2006,0.017328308629717896
18,2007,0.00822043785254017
18,2008,-0.010303593150616058
18,2009,-0.054649968878843186
18,2010,-0.009196226469376607
18,2011,0.01675682078697377
18,2012,0.01937665512397425
18,2013,0.016635312183572015
18,2014,0.019841286874364
18,2015,0.021767752526766507
18,2016,0.016464340852253408
18,2017,0.016366183377959545
18,2018,0.016992411534593032
18,2019,0.013305561278950405
18,2020,-0.04257764266059152
18,2021,0.02724594148890016
18,2022,0.03684672472167279
18,2023,0.018757714834190812
18,2024,0.009949225769714855
18,2025,0.0039952591755997085
19,1978,0.05373120002356133
19,1979,0.04032687786200227
19,1980,0.007410641311876149
19,1981,0.012699523522885163
19,1982,-0.013637040384959625
19,1983,0.013113870776762012
19,1984,0.05288200203703146
19,1985,0.03620358891416249
19,1986,0.024976595746530134
19,1987,0.030342199050938157
19,1988,0.03553066323419136
19,1989,0.027799408082955918
19,1990,0.012754584228776419
19,1991,-0.007779244659895579
19,1992,0.003502869910855518
19,1993,0.02133727142257697
19,1994,0.03508701743540987
19,1995,0.02946429212911971
19,1996,0.022853543106462124
19,1997,0.028668303103907278
19,1998,0.02784186655566863
19,1999,0.023899386616409734
19,2000,0.019201188230447537
19,2001,-0.0023803150827805177
19,2002,-0.015206712273378593
19,2003,-0.004818707520251358
19,2004,0.010723169442436585
19,2005,0.017077779485681132
19,2006,0.017338808041538766
19,2007,0.009533573042590155
19,2008,-0.009385345540261986
19,2009,-0.05172486555055826
19,2010,-0.008053643192332177
19,2011,0.01524921293706922
19,2012,0.01832771601179868
19,2013,0.016468338029008486
19,2014,0.019693096396090487
19,2015,0.022860828176547054
19,2016,0.019164398246450724
19,2017,0.016188576617747346
19,2018,0.01640166964684998
19,2019,0.012683883433106852
19,2020,-0.041756326053474874
19,2021,0.02709013586218737
19,2022,0.0357279807155684
19,2023,0.01857196842955095
19,2024,0.010331978540500737
19,2025,0.005503705580518321
20,1978,0.04839384447009746
20,1979,0.03993804472164657
20,1980,0.00839215340537026
20,1981,0.013169522279584619
20,1982,-0.01611722278896852
20,1983,0.009548640820592525
20,1984,0.05283776386927633
20,1985,0.03474394681781524
20,1986,0.02125457017293339
20,1987,0.02818816994081484
20,1988,0.03495483843449256
20,1989,0.02746676405177907
20,1990,0.012518359864633948
20,1991,-0.008003448979513623
20,1992,0.0027615222784093192
20,1993,0.021306294904544002
20,1994,0.03459690092174895
20,1995,0.02881628792973929
20,1996,0.02355978547001815
20,1997,0.028909655085530575
20,1998,0.028018229687113906
20,1999,0.024781887744111025
20,2000,0.02108507454353951
20,2001,0.00022567871618479874
20,2002,-0.0115559545491496
20,2003,-0.0018196033152871496
20,2004,0.011853918640106011
20,2005,0.017821760627755655
20,2006,0.018108074934414204
20,2007,0.010190407255955885
20,2008,-0.007586800193272355
20,2009,-0.04986872251224113
20,2010,-0.0074234241145638095
20,2011,0.015413613251674167
20,2012,0.018898860758459216
20,2013,0.01714028467599808
20,2014,0.020309690998625486
20,2015,0.02211614440471038
20,2016,0.017914464896736423
20,2017,0.01600534393703173
20,2018,0.01719392745320777
20,2019,0.013071621687803433
20,2020,-0.04299075996078805
20,2021,0.026943835549395296
20,2022,0.03602608206499921
20,2023,0.02017182708374937
20,2024,0.011408678108295777
20,2025,0.004234734876194344
21,1978,0.05450037543675857
21,1979,0.040350630531049723
21,1980,0.006887703831466885
21,1981,0.013689831688500515
21,1982,-0.016794867784331417
21,1983,0.008131344865334343
21,1984,0.05137161792449097
21,1985,0.03306190611688732
21,1986,0.01814173711520168
21,1987,0.026594414132221914
21,1988,0.033671978390513904
21,1989,0.02555210383370566
21,1990,0.010901041020420362
21,1991,-0.009077267524762563
21,1992,0.0006207933180180381
21,1993,0.019845499732898723
21,1994,0.034288164620998485
21,1995,0.028063627374655706
21,1996,0.02184235595534794
21,1997,0.027323331565486744
21,1998,0.026320203067346296
21,1999,0.023061417157918464
21,2000,0.019707483583246848
21,2001,-0.0003055611192624776
21,2002,-0.012216271777878032
21,2003,-0.002690559831176504
21,2004,0.01218985168693867
21,2005,0.019622208107269255
21,2006,0.018752098634333008
21,2007,0.011029744314662568
21,2008,-0.0066259144251496855
21,2009,-0.05152392937802737
21,2010,-0.008470862757961573
21,2011,0.01642319217507646
21,2012,0.0189239134996468
21,2013,0.017308428504998297
21,2014,0.020562597570318503
21,2015,0.022398691537952008
21,2016,0.016515306849502864
21,2017,0.016130801319551774
21,2018,0.017764742352867534
21,2019,0.013319824445043336
21,2020,-0.041534922629196724
21,2021,0.027633338553548648
21,2022,0.036719869336118365
21,2023,0.019069237317572967
21,2024,0.00988133032816501
